Annotation_source,taxa,Kingdom,Phylum,Class,Order,Family,Genus,Species,Animal_pathogen,Plant_pathogen,pathogen_type
microbe-directory,Shewanella woodyi,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella woodyi,NA,NA,NA
microbe-directory,Shewanella pealeana,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella pealeana,1,0,1
microbe-directory,Belliella baltica,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Belliella,Belliella baltica,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Streptomyces griseoviridis,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces griseoviridis,NA,NA,NA
gtdb_ar_meta-ncbi_taxonomy,Sulfurisphaera tokodaii,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfurisphaera,Sulfurisphaera tokodaii,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Streptomyces cyaneogriseus,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces cyaneogriseus,NA,NA,NA
microbe-directory,Ostreococcus tauri virus 1,Viruses,Viruses noname,Viruses noname,Viruses noname,Phycodnaviridae,Phycodnaviridae noname,Ostreococcus tauri virus 1,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Sulfitobacter sp. SK025,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sulfitobacter,Sulfitobacter sp. SK025,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Treponema sp. OMZ 838,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Treponema sp. OMZ 838,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Microbulbifer thermotolerans,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Microbulbiferaceae,Microbulbifer,Microbulbifer thermotolerans,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Microbacterium oleivorans,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium oleivorans,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Brevibacterium siliguriense,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Brevibacteriaceae,Brevibacterium,Brevibacterium siliguriense,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Vibrio ponticus,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio ponticus,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Vibrio metoecus,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio metoecus,NA,NA,NA
gtdb_ar_meta-ssu_silva_taxonomy,Pyrococcus sp. NA2,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus sp. NA2,NA,NA,NA
gtdb_bac_meta-lsu_silva_23s_taxonomy,Enterobacteriaceae bacterium strain FGI 57,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,uncultured,Enterobacteriaceae bacterium strain FGI 57,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Borrelia coriaceae,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia,Borrelia coriaceae,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Altererythrobacter namhicola,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Altererythrobacter,Altererythrobacter namhicola,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Paludisphaera borealis,Bacteria,Planctomycetes,Planctomycetia,Isosphaerales,Isosphaeraceae,Paludisphaera,Paludisphaera borealis,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Sporosarcina sp. P37,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Sporosarcina,Sporosarcina sp. P37,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Sporosarcina sp. P33,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Sporosarcina,Sporosarcina sp. P33,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Sphingobacterium hotanense,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium hotanense,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Geosporobacter ferrireducens,Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Geosporobacter,Geosporobacter ferrireducens,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Streptococcus mitis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mitis,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Streptomyces sp. CNQ-509,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. CNQ-509,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Paenibacillus kribbensis,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus kribbensis,NA,NA,NA
microbe-directory,Ectocarpus siliculosus virus 1,Viruses,Viruses noname,Viruses noname,Viruses noname,Phycodnaviridae,Phaeovirus,Ectocarpus siliculosus virus 1,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Mycobacterium parmense,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium parmense,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Campylobacter peloridis,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter peloridis,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Sphingobium cloacae,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium cloacae,NA,NA,NA
microbe-directory,Chlamydia psittaci,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,1,0,1
microbe-directory,Ferrimonas balearica,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Ferrimonadaceae,Ferrimonas,Ferrimonas balearica,NA,NA,NA
microbe-directory,Sheeppox virus,Viruses,Viruses noname,Viruses noname,Viruses noname,Poxviridae,Capripoxvirus,Sheeppox virus,1,0,1
gtdb_bac_meta-ncbi_taxonomy,Changchengzhania lutea,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Changchengzhania,Changchengzhania lutea,NA,NA,NA
microbe-directory,Encephalitozoon intestinalis,Eukaryota,Microsporidia,Microsporidia noname,Microsporidia noname,Unikaryonidae,Encephalitozoon,Encephalitozoon intestinalis,1,0,1
microbe-directory,Aspergillus oryzae,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus oryzae,0,0,NA
microbe-directory,Fervidicoccus fontis,Archaea,Crenarchaeota,Thermoprotei,Fervidicoccales,Fervidicoccaceae,Fervidicoccus,Fervidicoccus fontis,NA,NA,NA
microbe-directory,Natrinema pellirubrum,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natrinema,Natrinema pellirubrum,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Chryseobacterium indologenes,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium indologenes,NA,NA,NA
microbe-directory,Mahella australiensis,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family IV Incertae Sedis,Mahella,Mahella australiensis,NA,NA,NA
gtdb_bac_meta-lsu_silva_23s_taxonomy,Brucella sp. 10RB9215,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Brucella,Brucella sp. 10RB9215,NA,NA,NA
microbe-directory,Photorhabdus asymbiotica,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Photorhabdus,Photorhabdus asymbiotica,1,0,1
gtdb_bac_meta-ncbi_taxonomy,Mycoplasma anserisalpingitidis,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma anserisalpingitidis,NA,NA,NA
microbe-directory,Calditerrivibrio nitroreducens,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Calditerrivibrio,Calditerrivibrio nitroreducens,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Streptococcus viridans,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus viridans,NA,NA,NA
microbe-directory,Pelosinus fermentans,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Pelosinus,Pelosinus fermentans,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Alteromonas addita,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas addita,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Mycobacterium sp. WY10,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium sp. WY10,NA,NA,NA
microbe-directory,Leptotrichia wadei,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia wadei,NA,NA,NA
microbe-directory,Xanthomonas vesicatoria,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas vesicatoria,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,[Candida] glabrata,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,[Candida] glabrata,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Chlamydia abortus,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia abortus,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Eubacterium maltosivorans,Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Eubacterium maltosivorans,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Zea mays,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Zea,Zea mays,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Xanthomonas cassavae,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas cassavae,NA,NA,NA
microbe-directory,Actinobacillus succinogenes,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus succinogenes,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Streptomyces galilaeus,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces galilaeus,NA,NA,NA
microbe-directory,Bacteroides thetaiotaomicron,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,1,0,1
microbe-directory,Lactobacillus jensenii,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus jensenii,0,0,NA
gtdb_ar_meta-ncbi_taxonomy,Candidatus Nitrosopumilus sediminis,Archaea,Thaumarchaeota,,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,Candidatus Nitrosopumilus sediminis,NA,NA,NA
microbe-directory,Fusobacterium ulcerans,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium ulcerans,1,0,1
gtdb_bac_meta-ncbi_taxonomy,Methylovulum psychrotolerans,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylovulum,Methylovulum psychrotolerans,NA,NA,NA
microbe-directory,Pseudomonas fluorescens,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens,1,0,1
microbe-directory,Robiginitalea biformata,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Robiginitalea,Robiginitalea biformata,NA,NA,NA
gtdb_ar_meta-ncbi_taxonomy,Haloplanus aerogenes,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloplanus,Haloplanus aerogenes,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Candidatus Bipolaricaulis anaerobius,Bacteria,Candidatus Bipolaricaulota,,,,Candidatus Bipolaricaulis,Candidatus Bipolaricaulis anaerobius,NA,NA,NA
microbe-directory,Shewanella baltica,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella baltica,0,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Methylorubrum populi,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylorubrum,Methylorubrum populi,NA,NA,NA
microbe-directory,Bartonella bovis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella bovis,1,0,1
gtdb_ar_meta-ncbi_taxonomy,Methanosarcina thermophila,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina thermophila,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Mycolicibacterium fallax,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium fallax,NA,NA,NA
microbe-directory,Anaerostipes hadrus,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,Anaerostipes hadrus,NA,0,NA
microbe-directory,Truepera radiovictrix,Bacteria,Deinococcus Thermus,Deinococci,Deinococcales,Trueperaceae,Truepera,Truepera radiovictrix,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Paenibacillus donghaensis,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus donghaensis,NA,NA,NA
microbe-directory,Pediococcus claussenii,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus claussenii,0,0,NA
microbe-directory,Pseudomonas luteola,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas luteola,1,0,1
microbe-directory,Enterobacter asburiae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Enterobacter asburiae,0,1,2
gtdb_ar_meta-ncbi_taxonomy,Haloplanus rallus,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloplanus,Haloplanus rallus,NA,NA,NA
microbe-directory,Oligotropha carboxidovorans,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Oligotropha,Oligotropha carboxidovorans,0,0,NA
microbe-directory,Helicobacter suis,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter suis,NA,0,NA
gtdb_bac_meta-ncbi_taxonomy,Corynebacterium camporealensis,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium camporealensis,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Rodentibacter heylii,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Rodentibacter,Rodentibacter heylii,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,[Mycobacterium] stephanolepidis,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacteroides,[Mycobacterium] stephanolepidis,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Massilia plicata,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Massilia plicata,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Acetobacter oryzoeni,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter oryzoeni,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Streptomyces vinaceus,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces vinaceus,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Sandaracinus amylolyticus,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,Sandaracinus,Sandaracinus amylolyticus,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Sulfitobacter sp. D7,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sulfitobacter,Sulfitobacter sp. D7,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Shewanella sp. MR-4,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Shewanella,Shewanella sp. MR-4,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Shewanella sp. MR-7,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Shewanella,Shewanella sp. MR-7,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Flavobacterium commune,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium commune,NA,NA,NA
microbe-directory,Verminephrobacter eiseniae,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Verminephrobacter,Verminephrobacter eiseniae,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Parabacteroides sp. CT06,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides sp. CT06,NA,NA,NA
microbe-directory,Neisseria elongata,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria elongata,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Oceanisphaera profunda,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Oceanisphaera,Oceanisphaera profunda,NA,NA,NA
microbe-directory,Mucilaginibacter paludis,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,Mucilaginibacter paludis,0,0,NA
microbe-directory,Enterococcus durans,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus durans,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Streptomyces antibioticus,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces antibioticus,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Planococcus rifietoensis,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planococcus,Planococcus rifietoensis,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Vibrio antiquarius,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio antiquarius,NA,NA,NA
microbe-directory,Arthrospira platensis,Bacteria,Cyanobacteria,Cyanobacteria noname,Oscillatoriales,Oscillatoriales noname,Arthrospira,Arthrospira platensis,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Thermanaeromonas toyohensis,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermanaeromonas,Thermanaeromonas toyohensis,NA,NA,NA
gtdb_bac_meta-lsu_silva_23s_taxonomy,Streptomyces sp. PVA 94-07,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. PVA 94-07,NA,NA,NA
microbe-directory,Niabella soli,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriales noname,Niabella,Niabella soli,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Sphingobium fuliginis,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium fuliginis,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Pseudomonas sp. St29,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. St29,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Chromobacterium sp. IIBBL 274-1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chromobacteriaceae,Chromobacterium,Chromobacterium sp. IIBBL 274-1,NA,NA,NA
microbe-directory,Mycoplasma alkalescens,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma alkalescens,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Dokdonia sp. MED134,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Dokdonia,Dokdonia sp. MED134,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Mycobacterium pseudoshottsii,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium pseudoshottsii,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Corynebacterium glyciniphilum,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium glyciniphilum,NA,NA,NA
microbe-directory,Brevundimonas subvibrioides,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas subvibrioides,0,0,NA
gtdb_bac_meta-lsu_silva_23s_taxonomy,Burkholderia insecticola,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,Burkholderia insecticola,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Aminobacter sp. MSH1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aminobacter,Aminobacter sp. MSH1,NA,NA,NA
microbe-directory,Methanosphaerula palustris,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanosphaerula,Methanosphaerula palustris,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Tuwongella immobilis,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Tuwongella,Tuwongella immobilis,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Halomonas subglaciescola,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas subglaciescola,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,endosymbiont of Pachyrhynchus infernalis,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,endosymbionts,endosymbiont of Pachyrhynchus infernalis,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Cycloclasticus sp. PY97N,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Cycloclasticaceae,Cycloclasticus,Cycloclasticus sp. PY97N,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Nitrosococcus wardiae,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Nitrosococcus,Nitrosococcus wardiae,NA,NA,NA
microbe-directory,Phenylobacterium zucineum,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,Phenylobacterium zucineum,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Rhodoferax ferrireducens,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Rhodoferax ferrireducens,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Parageobacillus toebii,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Parageobacillus,Parageobacillus toebii,NA,NA,NA
microbe-directory,Toxoplasma gondii,Eukaryota,Apicomplexa,Coccidia,Eucoccidiorida,Sarcocystidae,Toxoplasma,Toxoplasma gondii,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Rathayibacter tanaceti,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Rathayibacter,Rathayibacter tanaceti,NA,NA,NA
microbe-directory,Bartonella quintana,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella quintana,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Micromonospora echinofusca,Bacteria,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Micromonospora,Micromonospora echinofusca,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Hymenobacter oligotrophus,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter oligotrophus,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Streptomyces noursei,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces noursei,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Corynebacterium endometrii,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium endometrii,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Acholeplasma hippikon,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,Acholeplasma hippikon,NA,NA,NA
microbe-directory,Pleurocapsa minor,Bacteria,Cyanobacteria,Cyanobacteria noname,Pleurocapsales,Pleurocapsales noname,Pleurocapsa,Pleurocapsa minor,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Pandoraea pnomenusa,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Pandoraea,Pandoraea pnomenusa,NA,NA,NA
microbe-directory,Liberibacter crescens,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Candidatus Liberibacter,Liberibacter crescens,0,0,NA
microbe-directory,Desulfovibrio salexigens,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio salexigens,0,0,NA
gtdb_ar_meta-ncbi_taxonomy,Halostella pelagica,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halostella,Halostella pelagica,NA,NA,NA
microbe-directory,Natronobacterium gregoryi,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natronobacterium,Natronobacterium gregoryi,0,0,NA
gtdb_bac_meta-lsu_silva_23s_taxonomy,Rahnella sp. Y9602,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Rahnella,Rahnella sp. Y9602,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Microbacterium endophyticum,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium endophyticum,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Arthrobacter sp. PAMC 25486,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. PAMC 25486,NA,NA,NA
