pangea_barcode,sample_id,project,sample_id2,sample_type,city,country,monument,latitude,longitude,continent
BC-0302377628,BC-0302377628_S142_L004,Monumentome,NaN,experiment,Tokyo_Meguro,Japan,Teshima Statue,35.604144,139.684179,East Asia
BC-0302377674,BC-0302377674_S143_L004,Monumentome,NaN,experiment,Tokyo_Meguro,Japan,Teshima Statue,35.604144,139.684179,East Asia
BC-0302362936,BC-0302362936_S62_L002,Monumentome,NaN,experiment,Ulaanbaatar,Mongolia,Soviet Union Tank,NaN,NaN,East Asia
BC-0302362972,BC-0302362972_S61_L002,Monumentome,NaN,experiment,Dalanzadgad,Mongolia,Horse Rider Statue,43.5734755,104.4291322,East Asia
BC-0302362978,BC-0302362978_S70_L002,Monumentome,NaN,experiment,Ulaanbaatar,Mongolia,Equestrian statue of Damdin S¨¹khbaatar,NaN,NaN,East Asia
BC-0302362983,BC-0302362983_S67_L002,Monumentome,NaN,experiment,Ulaanbaatar,Mongolia,Monument with many small bells in front of temple,NaN,NaN,East Asia
BC-0302363048,BC-0302363048_S73_L002,Monumentome,NaN,experiment,Ulaanbaatar,Mongolia,Camel Statue,NaN,NaN,East Asia
BC-0302363051,BC-0302363051_S69_L002,Monumentome,NaN,experiment,Ulaanbaatar,Mongolia,Equestrian statue of Damdin S¨¹khbaatar,NaN,NaN,East Asia
BC-0302370151,BC-0302370151_S64_L002,Monumentome,NaN,experiment,Ulaanbaatar,Mongolia,Soviet Union Tank,NaN,NaN,East Asia
BC-0302370165,BC-0302370165_S59_L002,Monumentome,NaN,experiment,Dalanzadgad,Mongolia,Horse Rider Statue,43.5734755,104.4291322,East Asia
BC-0302370175,BC-0302370175_S60_L002,Monumentome,NaN,experiment,Dalanzadgad,Mongolia,Horse Rider Statue,43.5734755,104.4291322,East Asia
BC-0302370817,BC-0302370817_S58_L002,Monumentome,NaN,negative_control,Dalanzadgad,Mongolia,Horse Rider Statue,43.5734755,104.4291322,East Asia
BC-0302370846,BC-0302370846_S72_L002,Monumentome,NaN,experiment,Ulaanbaatar,Mongolia,Camel Statue,NaN,NaN,East Asia
BC-0302370857,BC-0302370857_S71_L002,Monumentome,NaN,experiment,Ulaanbaatar,Mongolia,Camel Statue,NaN,NaN,East Asia
BC-0302370863,BC-0302370863_S66_L002,Monumentome,NaN,experiment,Ulaanbaatar,Mongolia,Monument with many small bells in front of temple,NaN,NaN,East Asia
BC-0302370873,BC-0302370873_S63_L002,Monumentome,NaN,experiment,Ulaanbaatar,Mongolia,Soviet Union Tank,NaN,NaN,East Asia
BC-0302395401,BC-0302395401_S68_L002,Monumentome,NaN,experiment,Ulaanbaatar,Mongolia,Monument with many small bells in front of temple,NaN,NaN,East Asia
BC-0302399681,BC-0302399681_S65_L002,Monumentome,NaN,experiment,Ulaanbaatar,Mongolia,Small Lion statue in front of Equestrian statue of Damdin S¨¹khbaatar,NaN,NaN,East Asia
